"","id","lat_dec","lng_dec"
"1","CC-0804-T1-H",19.3144722222222,-99.2655833333333
"2","CC-0220-T1-H",19.32325,-99.2456388888889
"3","CC-0721-T1-H",19.3363055555556,-99.2155277777778
"4","CC-0820-T1-H",19.3584444444444,-99.1749444444444
"5","CC-0720-T1-H",19.3635277777778,-99.2442222222222
"6","CC-0473-T1-H",19.5446944444444,-99.0413055555556
"7","CC-0604-T1-H",19.3684444444444,-99.2431388888889
"8","CC-0545-T1-H",19.2665555555556,-99.1158333333333
"9","CC-0622-T1-H",19.4525833333333,-99.0916666666667
"10","CC-0580-T1-H",19.2691666666667,-99.1211944444444
"11","CC-0421-T1-H",19.3373611111111,-99.2077222222222
"12","CC-0808-T1-H",19.2251111111111,-99.1236388888889
"13","CC-0555-T1-H",19.3321111111111,-99.2634444444444
"14","CC-0778-T1-H",19.3629444444444,-99.2271388888889
"15","CC-0483-T1-H",19.3322777777778,-99.2314166666667
"16","CC-0630-T1-H",19.3759444444444,-99.2219722222222
"17","CC-0614-T1-H",19.34175,-99.2094444444444
"18","CC-0700-T1-H",19.2476666666667,-99.2366111111111
"19","CC-0581-T1-H",19.3257222222222,-99.253
"20","CC-0460-T1-H",19.2768055555556,-99.4736666666667
"21","CC-0735-T1-H",19.3213333333333,-99.2410555555556
"22","CC-0194-T1-H",19.3215277777778,-99.2406666666667
"23","CC-0793-T1-H",19.3445833333333,-99.2126111111111
"24","CC-0079-T1-H",19.2810833333333,-99.2280833333333
"25","CC-0502-T1-H",19.3580277777778,-99.2429444444444
"26","CC-0734-T1-H",19.3236111111111,-99.2659444444444
"27","CC-0819-T1-H",19.6214166666667,-98.9239444444444
"28","CC-0095-T1-H",19.3944722222222,-99.2185
"29","CC-0267-T1-H",19.2770277777778,-99.2321111111111
"30","CC-0655-T1-H",19.3303333333333,-99.2543055555556
"31","CC-0673-T1-H",19.3246944444444,-99.2554722222222
"32","CC-0118-T1-H",19.3645,-99.2444722222222
"33","CC-0386-T1-H",19.3566944444444,-99.23175
"34","CC-0533-T1-H",19.426,-99.1473333333333
"35","CC-0422-T1-H",19.3808888888889,-99.2458333333333
"36","CC-0727-T1-H",19.28725,-99.2324166666667
"37","CC-0270-T1-H",19.3790833333333,-99.2087777777778
"38","CC-0756-T1-H",19.3616388888889,-99.1886666666667
"39","CC-0507-T1-H",19.3388611111111,-99.2003888888889
"40","CC-0141-T1-H",19.6066388888889,-99.0214722222222
"41","CC-0711-T1-H",19.2938333333333,-99.2208333333333
"42","CC-0768-T1-H",19.2846111111111,-99.2373888888889
"43","CC-0501-T1-H",19.3297222222222,-99.2510555555556
"44","CC-0580-T1-H",19.2691666666667,-99.1211944444444
"45","CC-0806-T1-H",19.4047777777778,-99.1813611111111
"46","CC-0741-T1-H",19.3533055555556,-99.2190277777778
"47","CC-0817-T1-H",19.4564444444444,-99.2048888888889
"48","CC-0141-T1-H",19.6066388888889,-99.0214722222222
"49","CC-0500-T1-H",19.3453888888889,-99.2821388888889
"50","CC-0450-T1-H",19.3034166666667,-99.2580277777778
"51","CC-0750-T1-H",19.36275,-99.2046666666667
"52","CC-0756-T1-H",19.3616388888889,-99.1886666666667
"53","CC-0082-T1-H",19.4053888888889,-99.2016111111111
"54","CC-0691-T1-H",19.3264444444444,-99.2164722222222
"55","CC-0727-T1-H",19.28725,-99.2324166666667
"56","CC-0381-T1-H",19.3431388888889,-99.2124722222222
"57","CC-0774-T1-H",19.3407777777778,-99.2039722222222
"58","CC-0762-T1-H",19.3691666666667,-99.1508611111111
"59","CC-0483-T1-H",19.3322777777778,-99.2314166666667
"60","CC-0620-T1-H",19.3413333333333,-99.1595555555556
"61","CC-0382-T1-H",19.3971666666667,-99.1834166666667
"62","CC-0774-T1-H",19.3407777777778,-99.2039722222222
"63","CC-0468-T1-H",19.3584722222222,-99.2362222222222
"64","CC-0669-T1-H",19.2743055555556,-99.1751666666667
"65","CC-0737-T1-H",19.3250555555556,-99.2631388888889
"66","CC-0097-T1-H",19.3699166666667,-99.2169444444445
"67","CC-0730-T1-H",19.3839444444444,-99.2129722222222
"68","CC-0333-T1-H",19.27,-99.1845833333333
"69","CC-0821-T1-H",19.4076388888889,-99.1985833333333
"70","CC-0428-T1-H",19.376,-99.2212222222222
"71","CC-0076-T1-H",19.2741111111111,-99.2377222222222
"72","CC-0760-T1-H",19.3664166666667,-99.2373611111111
"73","CC-0356-T1-H",19.3996111111111,-99.2108333333333
"74","CC-0646-T1-H",19.3207222222222,-99.2294722222222
"75","CC-0577-T1-H",19.3265,-99.2581111111111
"76","CC-0783-T1-H",19.3416388888889,-99.2068611111111
"77","CC-0494-T1-H",19.3505277777778,-99.2225277777778
"78","CC-0334-T1-H",19.3408055555556,-99.1871944444444
"79","CC-0781-T1-H",19.3748888888889,-99.2153333333333
"80","CC-0536-T1-H",19.3513333333333,-99.2385555555555
"81","CC-0396-T1-H",19.6395555555556,-98.9976111111111
"82","CC-0107-T1-H",19.4158888888889,-99.0606388888889
"83","CC-0569-T1-H",19.3786666666667,-99.2167222222222
"84","CC-0433-T1-H",19.3220555555556,-99.261
"85","CC-0768-T1-H",19.2846111111111,-99.2373888888889
"86","CC-0751-T1-H",19.4175,-99.0308333333333
"87","CC-0703-T1-H",19.3801388888889,-99.2048055555556
"88","CC-0234-T1-H",19.2879166666667,-99.2368611111111
"89","CC-0754-T1-H",19.3783333333333,-99.2093333333333
"90","CC-0659-T1-H",19.3792222222222,-99.2164722222222
"91","CC-0530-T1-H",19.3605,-99.2394722222222
"92","CC-0437-T1-H",19.3653055555556,-99.2428888888889
"93","CC-0721-T1-H",19.3363055555556,-99.2155277777778
"94","CC-0433-T1-H",19.3220555555556,-99.261
"95","CC-0082-T1-H",19.4053888888889,-99.2016111111111
"96","CC-0385-T1-H",19.3193888888889,-99.26275
"97","CC-0350-T1-H",19.3855833333333,-99.2783333333333
"98","CC-0492-T1-H",19.3695,-99.2349444444445
"99","CC-0775-T1-H",19.3246111111111,-99.2683333333333
"100","CC-0702-T1-H",19.3306388888889,-99.2941666666667
"101","CC-0757-T1-H",19.35175,-99.2219722222222
"102","CC-0729-T1-H",19.3215,-99.2405833333333
"103","CC-0765-T1-H",19.3588888888889,-99.2454722222222
"104","CC-0747-T1-H",19.3415555555556,-99.22975
"105","CC-0262-T1-H",19.4113333333333,-99.1264444444444
"106","CC-0715-T1-H",19.37275,-99.2389722222222
"107","CC-0672-T1-H",19.3266388888889,-99.28275
"108","CC-0428-T1-H",19.376,-99.2212222222222
